,teams,team_id,season,promotion_indicator
0,arsenal,1,2016-17,0
1,bournemouth,2,2016-17,0
2,burnley,3,2016-17,0
3,chelsea,4,2016-17,0
4,crystalpalace,5,2016-17,0
5,everton,6,2016-17,0
6,hullcity,7,2016-17,0
7,leicestercity,8,2016-17,0
8,liverpool,9,2016-17,0
9,manchestercity,10,2016-17,0
10,manchesterunited,11,2016-17,0
11,middlesbrough,12,2016-17,0
12,southampton,13,2016-17,0
13,stokecity,14,2016-17,0
14,sunderland,15,2016-17,0
15,swanseacity,16,2016-17,0
16,tottenhamhotspur,17,2016-17,0
17,watford,18,2016-17,0
18,westbromwichalbion,19,2016-17,0
19,westhamunited,20,2016-17,0
20,arsenal,1,2017-18,0
21,bournemouth,2,2017-18,0
22,brighton&hovealbion,3,2017-18,1
23,burnley,4,2017-18,0
24,chelsea,5,2017-18,0
25,crystalpalace,6,2017-18,0
26,everton,7,2017-18,0
27,huddersfieldtown,8,2017-18,1
28,leicestercity,9,2017-18,0
29,liverpool,10,2017-18,0
30,manchestercity,11,2017-18,0
31,manchesterunited,12,2017-18,0
32,newcastleunited,13,2017-18,1
33,southampton,14,2017-18,0
34,stokecity,15,2017-18,0
35,swanseacity,16,2017-18,0
36,tottenhamhotspur,17,2017-18,0
37,watford,18,2017-18,0
38,westbromwichalbion,19,2017-18,0
39,westhamunited,20,2017-18,0
40,arsenal,1,2018-19,0
41,bournemouth,2,2018-19,0
42,brighton&hovealbion,3,2018-19,0
43,burnley,4,2018-19,0
44,cardiffcity,5,2018-19,1
45,chelsea,6,2018-19,0
46,crystalpalace,7,2018-19,0
47,everton,8,2018-19,0
48,fulham,9,2018-19,1
49,huddersfieldtown,10,2018-19,0
50,leicestercity,11,2018-19,0
51,liverpool,12,2018-19,0
52,manchestercity,13,2018-19,0
53,manchesterunited,14,2018-19,0
54,newcastleunited,15,2018-19,0
55,southampton,16,2018-19,0
56,tottenhamhotspur,17,2018-19,0
57,watford,18,2018-19,0
58,westhamunited,19,2018-19,0
59,wolverhamptonwanderers,20,2018-19,1
60,arsenal,1,2019-20,0
61,astonvilla,2,2019-20,1
62,bournemouth,3,2019-20,0
63,brighton&hovealbion,4,2019-20,0
64,burnley,5,2019-20,0
65,chelsea,6,2019-20,0
66,crystalpalace,7,2019-20,0
67,everton,8,2019-20,0
68,leicestercity,9,2019-20,0
69,liverpool,10,2019-20,0
70,manchestercity,11,2019-20,0
71,manchesterunited,12,2019-20,0
72,newcastleunited,13,2019-20,0
73,norwichcity,14,2019-20,1
74,sheffieldunited,15,2019-20,1
75,southampton,16,2019-20,0
76,tottenhamhotspur,17,2019-20,0
77,watford,18,2019-20,0
78,westhamunited,19,2019-20,0
79,wolverhamptonwanderers,20,2019-20,0
80,arsenal,1,2020-21,0
81,astonvilla,2,2020-21,0
82,brighton&hovealbion,3,2020-21,0
83,burnley,4,2020-21,0
84,chelsea,5,2020-21,0
85,crystalpalace,6,2020-21,0
86,everton,7,2020-21,0
87,fulham,8,2020-21,1
88,leedsunited,9,2020-21,1
89,leicestercity,10,2020-21,0
90,liverpool,11,2020-21,0
91,manchestercity,12,2020-21,0
92,manchesterunited,13,2020-21,0
93,newcastleunited,14,2020-21,0
94,sheffieldunited,15,2020-21,0
95,southampton,16,2020-21,0
96,tottenhamhotspur,17,2020-21,0
97,westbromwichalbion,18,2020-21,1
98,westhamunited,19,2020-21,0
99,wolverhamptonwanderers,20,2020-21,0
100,arsenal,1,2021-22,0
101,astonvilla,2,2021-22,0
102,brentford,3,2021-22,1
103,brighton&hovealbion,4,2021-22,0
104,burnley,5,2021-22,0
105,chelsea,6,2021-22,0
106,crystalpalace,7,2021-22,0
107,everton,8,2021-22,0
108,leedsunited,9,2021-22,0
109,leicestercity,10,2021-22,0
110,liverpool,11,2021-22,0
111,manchestercity,12,2021-22,0
112,manchesterunited,13,2021-22,0
113,newcastleunited,14,2021-22,0
114,norwichcity,15,2021-22,1
115,southampton,16,2021-22,0
116,tottenhamhotspur,17,2021-22,0
117,watford,18,2021-22,1
118,westhamunited,19,2021-22,0
119,wolverhamptonwanderers,20,2021-22,0
120,arsenal,1,2022-23,0
121,astonvilla,2,2022-23,0
122,bournemouth,3,2022-23,1
123,brentford,4,2022-23,0
124,brighton&hovealbion,5,2022-23,0
125,chelsea,6,2022-23,0
126,crystalpalace,7,2022-23,0
127,everton,8,2022-23,0
128,fulham,9,2022-23,1
129,leedsunited,10,2022-23,0
130,leicestercity,11,2022-23,0
131,liverpool,12,2022-23,0
132,manchestercity,13,2022-23,0
133,manchesterunited,14,2022-23,0
134,newcastleunited,15,2022-23,0
135,nottinghamforest,16,2022-23,1
136,southampton,17,2022-23,0
137,tottenhamhotspur,18,2022-23,0
138,westhamunited,19,2022-23,0
139,wolverhamptonwanderers,20,2022-23,0
